CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	Hello	你好	こんにちは	Hola	Habari	Hej	สวัสดี	Halo	Xin chào	Olá	안녕하세요	မင်္ဂလာပါ
L_3	BACKPACK	背包	バックパック	MOCHILA	MGONGO	RYGSÆK	แบ็คแพ็ค	RANSEL	BALO	MOCHILA	배낭	ကျောပိုးအိတ်
L_4	MISSION	使命	ミッション	MISIÓN	UTUME	MISSION	ภารกิจ	MISI	NHIỆM VỤ	MISSÃO	사명	မစ်ရှင်
L_5	WIN MORE	贏得更多	もっと勝ちましょう	GANAR MÁS	SHINDA ZAIDI	VIND MERE	ชนะมากขึ้น	MENANG LEBIH BANYAK	THẮNG NHIỀU HƠN	GANHE MAIS	더 많이 승리하세요	နောက်ထပ်အနိုင်ရ
L_6	Discover this must-play game!	探索這款必玩遊戲！	この必見のゲームを発見してください!	¡Descubre este juego imprescindible!	Gundua mchezo huu wa lazima-ucheze!	Oplev dette spil, du skal spille!	ค้นพบเกมที่ต้องเล่นนี้!	Temukan game yang wajib dimainkan ini!	Khám phá trò chơi phải chơi này!	Descubra este jogo imperdível!	꼭 플레이해야 할 게임을 만나보세요!	ဤကစားရမည့်ဂိမ်းကို ရှာဖွေပါ။
L_7	No games in your Favorites. Tap here to add now!	您的收藏夾中沒有遊戲。 點擊此處立即添加！	お気に入りにゲームがありません。 ここをタップして今すぐ追加してください!	No hay juegos en tus Favoritos. ¡Toca aquí para agregar ahora!	Hakuna michezo katika Vipendwa vyako. Gonga hapa ili kuongeza sasa!	Ingen spil i dine favoritter. Tryk her for at tilføje nu!	ไม่มีเกมในรายการโปรดของคุณ แตะที่นี่เพื่อเพิ่มทันที!	Tidak ada permainan di Favorit Anda. Ketuk di sini untuk menambahkan sekarang!	Không có trò chơi nào trong mục Yêu thích của bạn. Nhấn vào đây để thêm ngay bây giờ!	Nenhum jogo nos seus Favoritos. Toque aqui para adicionar agora!	즐겨찾기에 게임이 없습니다. 지금 추가하려면 여기를 탭하세요!	သင့်အကြိုက်ဆုံးများထဲတွင် ဂိမ်းမရှိပါ။ ယခုထည့်ရန် ဤနေရာကို တို့ပါ။
L_8	Click GAME to play now!	點擊“遊戲”即可開始遊戲！	「ゲーム」をクリックして今すぐプレイしてください!	¡Haz clic en JUEGO para jugar ahora!	Bofya GAME ili kucheza sasa!	Klik på SPIL for at spille nu!	คลิก GAME เพื่อเล่นทันที!	Klik GAME untuk bermain sekarang!	Bấm vào TRÒ CHƠI để chơi ngay!	Clique em JOGO para jogar agora!	지금 플레이하려면 GAME을 클릭하세요!	ယခုကစားရန် GAME ကိုနှိပ်ပါ။
L_9	To receive the prize,place bets until the progress bar is full and unlock more rewards by upgrading your LV level.	要獲得獎品，請下注直至進度條滿，並透過升級 LV 等級來解鎖更多獎勵。	賞品を受け取るには、プログレスバーがいっぱいになるまでベットし、LV レベルをアップグレードしてさらに多くの報酬のロックを解除します。	Para recibir el premio, haga apuestas hasta que la barra de progreso esté llena y desbloquee más recompensas mejorando su nivel LV.	Ili kupokea zawadi, weka dau hadi upau wa maendeleo ujae na upate zawadi zaidi kwa kuboresha kiwango chako cha LV.	For at modtage præmien skal du placere væddemål, indtil statuslinjen er fuld, og låse op for flere belønninger ved at opgradere dit LV-niveau.	หากต้องการรับรางวัล ให้วางเดิมพันจนกว่าแถบความคืบหน้าจะเต็ม และปลดล็อครางวัลเพิ่มเติมโดยการอัพเกรดระดับ LV ของคุณ	Untuk menerima hadiah, pasang taruhan hingga bilah kemajuan penuh dan buka lebih banyak hadiah dengan meningkatkan level LV Anda.	Để nhận giải thưởng, hãy đặt cược cho đến khi thanh tiến trình đầy và mở khóa thêm phần thưởng bằng cách nâng cấp cấp LV của bạn.	Para receber o prêmio, faça apostas até que a barra de progresso esteja cheia e desbloqueie mais recompensas atualizando seu nível de LV.	상품을 받으려면 진행률 표시줄이 가득 찰 때까지 베팅하고 LV 레벨을 업그레이드하여 더 많은 보상을 잠금 해제하세요.	ဆုကိုရယူရန်၊ တိုးတက်မှုဘားမပြည့်မချင်း အလောင်းအစားများထည့်ကာ သင်၏ LV အဆင့်ကို အဆင့်မြှင့်တင်ခြင်းဖြင့် နောက်ထပ်ဆုများကို လော့ခ်ဖွင့်ပါ။
L_10	No Rich Card  in your backpack.	無富卡  在你的背包裡。	リッチカードなし  バックパックの中に。	Sin tarjeta rica  en tu mochila.	Hakuna Kadi Tajiri  katika mkoba wako.	Intet Rich Card  i din rygsæk.	ไม่มีริชการ์ด  ในกระเป๋าเป้สะพายหลังของคุณ	Tidak Ada Kartu Informasi  di ranselmu.	Không có thẻ Rich  trong ba lô của bạn.	Sem cartão rico  em sua mochila.	리치 카드 없음  배낭에.	ချမ်းသာကတ်မရှိပါ။  မင်းရဲ့ကျောပိုးအိတ်ထဲမှာ။
L_11	Click Rich Card icon to use. It disappears when expired	點擊豐富的卡片圖示即可使用。過期就消失了	リッチカードアイコンをクリックして使用します。期限切れになると消える	Haga clic en el ícono Rich Card para usarlo. Desaparece cuando expira	Bofya ikoni ya Kadi Tajiri ili kutumia. Inatoweka wakati muda wake umekwisha	Klik på Rich Card-ikonet for at bruge. Det forsvinder, når det udløber	คลิกไอคอน Rich Card เพื่อใช้ มันจะหายไปเมื่อหมดอายุ	Klik ikon Kartu Informasi untuk menggunakan. Itu hilang ketika kadaluwarsa	Nhấn vào biểu tượng Rich Card để sử dụng. Nó biến mất khi hết hạn	Clique no ícone Rich Card para usar. Desaparece quando expira	리치카드 아이콘을 클릭하여 사용하세요. 만료되면 사라집니다	အသုံးပြုရန် Rich Card အိုင်ကွန်ကို နှိပ်ပါ။ သက်တမ်းကုန်တဲ့အခါ ပျောက်သွားတယ်။
