CODE	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	Hello	你好	こんにちは	Hola	Habari	Hej	สวัสดี	Halo	Xin chào	Olá	안녕하세요	မင်္ဂလာပါ
L_3	Loading....	載入中....	読み込み中....	Cargando....	Inapakia....	Indlæser...	กำลังโหลด....	Memuat....	Đang tải....	Carregando....	로딩중....	တင်နေသည်....
L_4	Continue	繼續	続く	Continuar	Endelea	Fortsætte	ดำเนินการต่อ	Melanjutkan	Tiếp tục	Continuar	계속하다	ဆက်ရန်
L_5	Don't show next time	下次不再顯示	次回は表示しない	No mostrar la próxima vez	Usionyeshe wakati ujao	Vis ikke næste gang	อย่าแสดงครั้งต่อไป	Jangan tampilkan lain kali	Không hiển thị lần sau	Não mostrar na próxima vez	다음에는 보여주지 마세요	နောက်တစ်ကြိမ် မပြပါနှင့်
L_6	Any 3 Symbol to win.	任 3 個符號即可獲勝。	3つのシンボルが揃えば勝ち。	Cualquier 3 símbolos para ganar.	Alama yoyote 3 kushinda.	Ethvert 3 symbol for at vinde.	สัญลักษณ์ใดๆ 3 อันเพื่อชนะ	3 Simbol apa saja untuk menang.	Bất kỳ 3 biểu tượng nào cũng thắng.	Quaisquer 3 símbolos para ganhar.	3개의 심볼을 맞추면 승리합니다.	အနိုင်ရရန် သင်္ကေတ ၃ ခု။
L_7	Special wheel,A variety of effects	專用輪子，多種效果	特殊ホイール、多彩な効果	Rueda especial, variedad de efectos.	Gurudumu maalum, athari mbalimbali	Specielt hjul, en række effekter	ล้อพิเศษ เอฟเฟกต์หลากหลาย	Roda khusus, Berbagai efek	Bánh xe đặc biệt, Nhiều hiệu ứng khác nhau	Roda especial, Uma variedade de efeitos	특수 휠, 다양한 효과	အထူးဘီး၊ သက်ရောက်မှုမျိုးစုံ
L_8	Volatility:	揮發性：	ボラティリティ:	Volatilidad:	Tete:	Volatilitet:	ความผันผวน:	Keriangan:	Độ biến động:	Volatilidade:	휘발성:	မတည်ငြိမ်မှု-
L_9	WIN	贏	勝つ	GANAR	SHINDA	VINDE	ชนะ	MENANG	THẮNG	GANHAR	이기다	အနိုင်ရ
L_10	PLAY	玩	遊ぶ	JUGAR	CHEZA	SPIL	เล่น	BERMAIN	CHƠI	JOGAR	놀다	ကစားပါ။
L_11	Balance	平衡	バランス	Balance	Mizani	Balance	สมดุล	Keseimbangan	Sự cân bằng	Equilíbrio	균형	လက်ကျန်
